chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
3.25,2.17,0.93,1.53,0.63,1.60,0.51,0.32,0.36,1.62,1.28,2.39,0.85,0.69,2.07,2.12
3.25,2.18,0.93,1.53,0.63,1.60,0.51,0.32,0.36,1.62,1.29,2.41,0.86,0.70,2.08,2.13
3.25,2.18,0.94,1.54,0.63,1.61,0.52,0.32,0.36,1.63,1.30,2.42,0.87,0.70,2.08,2.15
3.25,2.19,0.95,1.55,0.63,1.62,0.52,0.32,0.36,1.64,1.30,2.43,0.87,0.70,2.09,2.16
3.25,2.19,0.95,1.56,0.64,1.62,0.52,0.32,0.36,1.65,1.31,2.45,0.88,0.71,2.10,2.17
3.25,2.20,0.96,1.57,0.64,1.63,0.52,0.32,0.36,1.66,1.32,2.46,0.89,0.71,2.11,2.18
3.25,2.20,0.97,1.58,0.64,1.63,0.53,0.32,0.36,1.66,1.32,2.47,0.89,0.71,2.12,2.19
3.25,2.21,0.97,1.58,0.64,1.64,0.53,0.33,0.36,1.67,1.33,2.49,0.90,0.72,2.13,2.21
3.25,2.21,0.98,1.59,0.64,1.65,0.53,0.33,0.36,1.68,1.34,2.50,0.91,0.72,2.14,2.22
3.26,2.22,0.99,1.60,0.65,1.65,0.53,0.33,0.36,1.69,1.34,2.51,0.91,0.73,2.15,2.23
3.26,2.22,1.00,1.61,0.65,1.66,0.54,0.33,0.36,1.70,1.35,2.53,0.92,0.73,2.16,2.24
3.26,2.23,1.00,1.62,0.65,1.66,0.54,0.33,0.36,1.70,1.36,2.54,0.93,0.73,2.16,2.26
3.26,2.23,1.01,1.62,0.65,1.67,0.54,0.33,0.36,1.71,1.36,2.55,0.93,0.74,2.17,2.27
3.26,2.24,1.02,1.63,0.65,1.67,0.54,0.33,0.36,1.72,1.37,2.57,0.94,0.74,2.18,2.28
3.26,2.24,1.02,1.64,0.65,1.68,0.55,0.33,0.36,1.73,1.38,2.58,0.95,0.74,2.19,2.29
3.26,2.25,1.03,1.65,0.66,1.69,0.55,0.33,0.36,1.74,1.38,2.59,0.95,0.75,2.20,2.30
3.26,2.25,1.04,1.66,0.66,1.69,0.55,0.33,0.36,1.74,1.39,2.61,0.96,0.75,2.21,2.32
3.26,2.26,1.04,1.67,0.66,1.70,0.55,0.34,0.36,1.75,1.39,2.62,0.96,0.75,2.22,2.33
3.26,2.26,1.05,1.67,0.66,1.70,0.56,0.34,0.36,1.76,1.40,2.63,0.97,0.76,2.23,2.34
3.26,2.27,1.06,1.68,0.66,1.71,0.56,0.34,0.36,1.77,1.41,2.65,0.98,0.76,2.24,2.35
3.27,2.27,1.06,1.69,0.66,1.72,0.56,0.34,0.35,1.78,1.41,2.66,0.98,0.77,2.24,2.36
3.27,2.28,1.07,1.70,0.67,1.72,0.56,0.34,0.35,1.78,1.42,2.67,0.99,0.77,2.25,2.38
3.27,2.28,1.08,1.71,0.67,1.73,0.57,0.34,0.35,1.79,1.43,2.69,1.00,0.77,2.26,2.39
